;faturado;valor_entrada;qtd_parcelas;valor_financiado;valor_parcela;mda;qtd_consultas_ate15dias;qtd_consultas_ate60dias;qtd_registros;qtd_contratos_quitados_cliente;qtd_contratos_abertos_cliente;media_atraso_cliente;sexo;idade;tel_fixo;estado_civil;dependentes;veiculo;veiculo_financiado;moradia;anos_residencia;ocupacao;telefone_comercial;anos_empresa;salario;mda_cliente
0;114.9;;4;114.9;28.73;3;0.0;0.0;0.0;7;;0.0;2;66;True;1;;;;;;24.0;True;24;800.0;3
1;29.9;;1;29.9;29.9;3;0.0;0.0;0.0;3;;0.0;2;66;True;1;;;;;;24.0;True;24;800.0;3
2;49.9;;2;49.9;24.95;1;;;;4;;0.0;2;66;True;1;;;;;;24.0;True;24;800.0;3
3;99.5;;4;99.5;24.88;-17;0.0;0.0;0.0;5;;0.0;2;66;True;1;;;;;;24.0;True;24;800.0;3
4;74.59;;3;74.59;24.86;2;0.0;0.0;0.0;6;;0.0;2;66;True;1;;;;;;24.0;True;24;800.0;3
5;183.5;;3;183.5;61.17;50;6.0;7.0;0.0;2;;29.0;1;48;False;2;2.0;0.0;;1.0;;43.0;True;17;3010.0;53
6;180.69;;6;189.72;31.62;75;0.0;0.0;0.0;5;;127.0;2;42;True;5;1.0;0.0;;1.0;7.0;7.0;True;117;480.0;1171
7;184.59;;6;193.62;32.27;65;0.0;0.0;0.0;5;1.0;121.0;2;42;True;5;1.0;0.0;;1.0;7.0;7.0;True;117;480.0;1171
8;107.87;;6;116.88;19.48;-7;2.0;2.0;0.0;2;;456.0;2;42;True;5;1.0;0.0;;1.0;7.0;7.0;True;117;480.0;1171
9;96.78;;5;104.3;20.86;-1;0.0;0.0;0.0;2;2.0;340.0;2;42;True;5;1.0;0.0;;1.0;7.0;7.0;True;117;480.0;1171
10;54.9;;4;60.92;15.23;-1;0.0;0.0;0.0;2;2.0;340.0;2;42;True;5;1.0;0.0;;1.0;7.0;7.0;True;117;480.0;1171
11;704.29;;5;719.95;143.99;17;3.0;4.0;0.0;4;2.0;914.0;2;0;False;3;0.0;0.0;;1.0;;54.0;True;18;2140.0;3100
12;311.9;;5;319.4;63.88;8;2.0;2.0;0.0;4;;14.0;1;52;True;2;0.0;0.0;;1.0;22.0;68.0;False;117;3696.45;23
13;254.29;;6;263.28;43.88;19;0.0;0.0;0.0;2;;0.0;2;53;False;1;1.0;0.0;;1.0;22.0;66.0;True;0;1200.0;19
14;303.29;;5;310.8;62.16;3;0.0;0.0;0.0;4;;0.0;1;63;True;1;0.0;0.0;;1.0;15.0;68.0;False;117;1400.0;15
15;89.9;;3;94.41;31.47;15;0.0;0.0;0.0;5;;0.0;1;63;True;1;0.0;0.0;;1.0;15.0;68.0;False;117;1400.0;15
16;101.75;;5;109.25;21.85;4;0.0;0.0;0.0;33;1.0;21.0;1;45;True;2;0.0;0.0;;1.0;;46.0;True;11;1256.97;245
17;149.68;;5;157.2;31.44;12;0.0;0.0;0.0;35;;22.0;1;45;True;2;0.0;0.0;;1.0;;46.0;True;11;1256.97;245
18;302.56;;5;310.05;62.01;19;1.0;1.0;0.0;6;1.0;0.0;2;42;True;1;1.0;0.0;;1.0;;64.0;True;7;800.0;47
19;163.81;;5;171.3;34.26;30;0.0;0.0;0.0;8;1.0;0.0;2;42;True;1;1.0;0.0;;1.0;;64.0;True;7;800.0;47
20;111.6;;5;119.1;23.82;28;0.0;0.0;0.0;8;2.0;0.0;2;42;True;1;1.0;0.0;;1.0;;64.0;True;7;800.0;47
21;154.6;;6;163.62;27.27;12;0.0;0.0;0.0;8;3.0;1.0;2;42;True;1;1.0;0.0;;1.0;;64.0;True;7;800.0;47
22;157.68;;6;166.68;27.78;15;0.0;0.0;0.0;9;3.0;3.0;2;42;True;1;1.0;0.0;;1.0;;64.0;True;7;800.0;47
23;63.86;;4;69.88;17.47;-2;0.0;0.0;0.0;11;2.0;2.0;2;42;True;1;1.0;0.0;;1.0;;64.0;True;7;800.0;47
24;99.9;;5;107.4;21.48;16;0.0;0.0;0.0;11;3.0;2.0;2;42;True;1;1.0;0.0;;1.0;;64.0;True;7;800.0;47
25;99.99;;2;103.0;51.5;-9;0.0;0.0;0.0;15;;0.0;2;42;True;1;1.0;0.0;;1.0;;64.0;True;7;800.0;47
26;29.9;;2;32.9;16.45;27;0.0;0.0;0.0;16;1.0;0.0;2;42;True;1;1.0;0.0;;1.0;;64.0;True;7;800.0;47
27;24.97;;2;27.98;13.99;1;0.0;0.0;0.0;18;1.0;0.0;2;42;True;1;1.0;0.0;;1.0;;64.0;True;7;800.0;47
28;79.8;;4;85.8;21.45;-19;0.0;0.0;0.0;19;2.0;0.0;2;42;True;1;1.0;0.0;;1.0;;64.0;True;7;800.0;47
29;99.59;;5;107.1;21.42;14;1.0;1.0;0.0;6;;4.0;2;42;True;1;1.0;0.0;;1.0;;64.0;True;7;800.0;47
30;159.9;;5;167.4;33.48;32;0.0;0.0;0.0;6;2.0;0.0;2;42;True;1;1.0;0.0;;1.0;;64.0;True;7;800.0;47
31;29.99;;2;33.0;16.5;47;0.0;0.0;0.0;15;1.0;0.0;2;42;True;1;1.0;0.0;;1.0;;64.0;True;7;800.0;47
32;323.61;;6;332.64;55.44;9;0.0;0.0;0.0;18;;0.0;2;42;True;1;1.0;0.0;;1.0;;64.0;True;7;800.0;47
33;99.9;;4;105.92;26.48;-3;0.0;0.0;0.0;19;1.0;0.0;2;42;True;1;1.0;0.0;;1.0;;64.0;True;7;800.0;47
34;322.41;;5;329.9;65.98;-4;0.0;0.0;0.0;0;1.0;0.0;2;52;True;1;1.0;0.0;;1.0;;7.0;True;117;1000.0;18
35;240.0;;3;244.5;81.5;0;0.0;0.0;0.0;1;1.0;0.0;2;52;True;1;1.0;0.0;;1.0;;7.0;True;117;1000.0;18
36;270.57;;6;279.6;46.6;0;0.0;0.0;0.0;2;1.0;0.0;2;52;True;1;1.0;0.0;;1.0;;7.0;True;117;1000.0;18
37;129.4;;2;132.4;66.2;7;0.0;0.0;0.0;2;2.0;0.0;2;52;True;1;1.0;0.0;;1.0;;7.0;True;117;1000.0;18
38;243.25;;4;249.24;62.31;-20;0.0;0.0;0.0;3;2.0;0.0;2;52;True;1;1.0;0.0;;1.0;;7.0;True;117;1000.0;18
39;283.61;;3;288.12;96.04;0;0.0;0.0;0.0;4;2.0;0.0;2;52;True;1;1.0;0.0;;1.0;;7.0;True;117;1000.0;18
40;260.0;;4;266.0;66.5;-6;0.0;0.0;0.0;4;3.0;0.0;2;52;True;1;1.0;0.0;;1.0;;7.0;True;117;1000.0;18
41;300.0;;6;309.0;51.5;-1;0.0;0.0;0.0;4;4.0;0.0;2;52;True;1;1.0;0.0;;1.0;;7.0;True;117;1000.0;18
42;287.1;;5;294.6;58.92;-1;0.0;0.0;0.0;6;3.0;0.0;2;52;True;1;1.0;0.0;;1.0;;7.0;True;117;1000.0;18
43;189.59;;3;194.1;64.7;18;0.0;0.0;0.0;7;3.0;0.0;2;52;True;1;1.0;0.0;;1.0;;7.0;True;117;1000.0;18
44;239.2;;4;245.2;61.3;14;0.0;0.0;0.0;11;1.0;0.0;2;52;True;1;1.0;0.0;;1.0;;7.0;True;117;1000.0;18
45;134.98;;4;141.0;35.25;3;0.0;0.0;0.0;11;2.0;0.0;2;52;True;1;1.0;0.0;;1.0;;7.0;True;117;1000.0;18
46;109.8;;1;111.3;111.3;15;0.0;0.0;0.0;11;3.0;0.0;2;52;True;1;1.0;0.0;;1.0;;7.0;True;117;1000.0;18
47;179.96;;3;184.47;61.49;9;0.0;0.0;0.0;14;2.0;0.0;2;52;True;1;1.0;0.0;;1.0;;7.0;True;117;1000.0;18
48;261.45;;3;261.45;87.15;1;0.0;0.0;0.0;14;2.0;0.0;2;52;True;1;1.0;0.0;;1.0;;7.0;True;117;1000.0;18
49;144.8;;2;147.8;73.9;12;0.0;0.0;0.0;15;3.0;0.0;2;52;True;1;1.0;0.0;;1.0;;7.0;True;117;1000.0;18
50;52.79;;2;52.79;26.4;9;0.0;0.0;0.0;15;3.0;0.0;2;52;True;1;1.0;0.0;;1.0;;7.0;True;117;1000.0;18
51;485.5;;6;494.52;82.42;-27;0.0;0.0;0.0;19;;0.0;2;52;True;1;1.0;0.0;;1.0;;7.0;True;117;1000.0;18
