;data_venda;faturado;valor_entrada;qtd_parcelas;primeiro_vencimento;valor_financiado;valor_parcela;mda;qtd_consultas_ate15dias;qtd_consultas_ate60dias;qtd_registros;qtd_contratos_quitados_cliente;qtd_contratos_abertos_cliente;media_atraso_cliente;sexo;data_nascimento;tel_fixo;estado_civil;dependentes;veiculo;veiculo_financiado;moradia;anos_residencia;ocupacao;telefone_comercial;data_admissao;salario;mda_cliente
0;20140705;114.9;;4;20140805;114.9;28.73;3;0.0;0.0;0.0;7;;0.0;2;19511104.0;True;1;;;;;;24.0;True;19930201.0;800.0;3
1;20091028;29.9;;1;20091128;29.9;29.9;3;0.0;0.0;0.0;3;;0.0;2;19511104.0;True;1;;;;;;24.0;True;19930201.0;800.0;3
2;20110705;49.9;;2;20110805;49.9;24.95;1;;;;4;;0.0;2;19511104.0;True;1;;;;;;24.0;True;19930201.0;800.0;3
3;20110928;99.5;;4;20111028;99.5;24.88;-17;0.0;0.0;0.0;5;;0.0;2;19511104.0;True;1;;;;;;24.0;True;19930201.0;800.0;3
4;20121106;74.59;;3;20121206;74.59;24.86;2;0.0;0.0;0.0;6;;0.0;2;19511104.0;True;1;;;;;;24.0;True;19930201.0;800.0;3
5;20101221;183.5;;3;20110121;183.5;61.17;50;6.0;7.0;0.0;2;;29.0;1;19690305.0;False;2;2.0;0.0;;1.0;;43.0;True;20000510.0;3010.0;53
6;20140327;180.69;;6;20140427;189.72;31.62;75;0.0;0.0;0.0;5;;127.0;2;19750323.0;True;5;1.0;0.0;;1.0;7.0;7.0;True;19000101.0;480.0;1171
7;20140506;184.59;;6;20140606;193.62;32.27;65;0.0;0.0;0.0;5;1.0;121.0;2;19750323.0;True;5;1.0;0.0;;1.0;7.0;7.0;True;19000101.0;480.0;1171
8;20121223;107.87;;6;20130123;116.88;19.48;-7;2.0;2.0;0.0;2;;456.0;2;19750323.0;True;5;1.0;0.0;;1.0;7.0;7.0;True;19000101.0;480.0;1171
9;20130304;96.78;;5;20130404;104.3;20.86;-1;0.0;0.0;0.0;2;2.0;340.0;2;19750323.0;True;5;1.0;0.0;;1.0;7.0;7.0;True;19000101.0;480.0;1171
10;20130304;54.9;;4;20130404;60.92;15.23;-1;0.0;0.0;0.0;2;2.0;340.0;2;19750323.0;True;5;1.0;0.0;;1.0;7.0;7.0;True;19000101.0;480.0;1171
11;20120525;704.29;;5;20120701;719.95;143.99;17;3.0;4.0;0.0;4;2.0;914.0;2;;False;3;0.0;0.0;;1.0;;54.0;True;19991230.0;2140.0;3100
12;20120921;311.9;;5;20121021;319.4;63.88;8;2.0;2.0;0.0;4;;14.0;1;19650106.0;True;2;0.0;0.0;;1.0;22.0;68.0;False;19000101.0;3696.45;23
13;20121210;254.29;;6;20130110;263.28;43.88;19;0.0;0.0;0.0;2;;0.0;2;19640408.0;False;1;1.0;0.0;;1.0;22.0;66.0;True;;1200.0;19
14;20121002;303.29;;5;20121102;310.8;62.16;3;0.0;0.0;0.0;4;;0.0;1;19540712.0;True;1;0.0;0.0;;1.0;15.0;68.0;False;19000101.0;1400.0;15
15;20130507;89.9;;3;20130607;94.41;31.47;15;0.0;0.0;0.0;5;;0.0;1;19540712.0;True;1;0.0;0.0;;1.0;15.0;68.0;False;19000101.0;1400.0;15
16;20120207;101.75;;5;20120307;109.25;21.85;4;0.0;0.0;0.0;33;1.0;21.0;1;19721007.0;True;2;0.0;0.0;;1.0;;46.0;True;20060218.0;1256.97;245
17;20121024;149.68;;5;20121124;157.2;31.44;12;0.0;0.0;0.0;35;;22.0;1;19721007.0;True;2;0.0;0.0;;1.0;;46.0;True;20060218.0;1256.97;245
18;20120301;302.56;;5;20120401;310.05;62.01;19;1.0;1.0;0.0;6;1.0;0.0;2;19750603.0;True;1;1.0;0.0;;1.0;;64.0;True;20100101.0;800.0;47
19;20120802;163.81;;5;20120902;171.3;34.26;30;0.0;0.0;0.0;8;1.0;0.0;2;19750603.0;True;1;1.0;0.0;;1.0;;64.0;True;20100101.0;800.0;47
20;20120904;111.6;;5;20121004;119.1;23.82;28;0.0;0.0;0.0;8;2.0;0.0;2;19750603.0;True;1;1.0;0.0;;1.0;;64.0;True;20100101.0;800.0;47
21;20121106;154.6;;6;20121206;163.62;27.27;12;0.0;0.0;0.0;8;3.0;1.0;2;19750603.0;True;1;1.0;0.0;;1.0;;64.0;True;20100101.0;800.0;47
22;20121218;157.68;;6;20130118;166.68;27.78;15;0.0;0.0;0.0;9;3.0;3.0;2;19750603.0;True;1;1.0;0.0;;1.0;;64.0;True;20100101.0;800.0;47
23;20130107;63.86;;4;20130207;69.88;17.47;-2;0.0;0.0;0.0;11;2.0;2.0;2;19750603.0;True;1;1.0;0.0;;1.0;;64.0;True;20100101.0;800.0;47
24;20130117;99.9;;5;20130217;107.4;21.48;16;0.0;0.0;0.0;11;3.0;2.0;2;19750603.0;True;1;1.0;0.0;;1.0;;64.0;True;20100101.0;800.0;47
25;20130815;99.99;;2;20130915;103.0;51.5;-9;0.0;0.0;0.0;15;;0.0;2;19750603.0;True;1;1.0;0.0;;1.0;;64.0;True;20100101.0;800.0;47
26;20131118;29.9;;2;20131218;32.9;16.45;27;0.0;0.0;0.0;16;1.0;0.0;2;19750603.0;True;1;1.0;0.0;;1.0;;64.0;True;20100101.0;800.0;47
27;20140211;24.97;;2;20140311;27.98;13.99;1;0.0;0.0;0.0;18;1.0;0.0;2;19750603.0;True;1;1.0;0.0;;1.0;;64.0;True;20100101.0;800.0;47
28;20140626;79.8;;4;20140726;85.8;21.45;-19;0.0;0.0;0.0;19;2.0;0.0;2;19750603.0;True;1;1.0;0.0;;1.0;;64.0;True;20100101.0;800.0;47
29;20120216;99.59;;5;20120316;107.1;21.42;14;1.0;1.0;0.0;6;;4.0;2;19750603.0;True;1;1.0;0.0;;1.0;;64.0;True;20100101.0;800.0;47
30;20120630;159.9;;5;20120730;167.4;33.48;32;0.0;0.0;0.0;6;2.0;0.0;2;19750603.0;True;1;1.0;0.0;;1.0;;64.0;True;20100101.0;800.0;47
31;20130928;29.99;;2;20131028;33.0;16.5;47;0.0;0.0;0.0;15;1.0;0.0;2;19750603.0;True;1;1.0;0.0;;1.0;;64.0;True;20100101.0;800.0;47
32;20140203;323.61;;6;20140303;332.64;55.44;9;0.0;0.0;0.0;18;;0.0;2;19750603.0;True;1;1.0;0.0;;1.0;;64.0;True;20100101.0;800.0;47
33;20140326;99.9;;4;20140426;105.92;26.48;-3;0.0;0.0;0.0;19;1.0;0.0;2;19750603.0;True;1;1.0;0.0;;1.0;;64.0;True;20100101.0;800.0;47
34;20120808;322.41;;5;20120908;329.9;65.98;-4;0.0;0.0;0.0;0;1.0;0.0;2;19650709.0;True;1;1.0;0.0;;1.0;;7.0;True;19000101.0;1000.0;18
