cliente,loja,contrato,data_venda,faturado,valor_entrada,autorizado,nivel_venda,tipo_plano,forma_venda,situacao,alteracao_vencimento,venda_autorizada,assinado_biometria,contrato_entregue,contrato_assinado,sem_autorizado,contrato_conversao,qtd_parcelas,qtd_parcelas_abertas,qtd_parcelas_vencidas,qtd_parcelas_quitadas,qtd_parcelas_quitadas_adiantadas,qtd_parcelas_quitadas_emdia,qtd_parcelas_quitadas_atrasado,qtd_parcelas_quitadas_atrasado_15dias,qtd_parcelas_quitadas_atrasado_30dias,qtd_parcelas_quitadas_atrasado_60dias,qtd_parcelas_quitadas_atrasado_90dias,primeiro_vencimento,ultimo_pagamento_integral,ultimo_pagamento_parcial,valor_financiado,juros_financiamento,valor_parcela,media_dias_atraso,mda,mda_aberto,mda_pago,juro_pago,desconto_juro,multa_paga,desconto_multa,saldo_devedor,qtd_inclusao_contrato_spc,qtd_retirado_contrato_spc,qtd_inclusao_cliente_spc,qtd_retirado_cliente_spc,qtd_inclusao_contrato_cobranca,qtd_consultas_ate15dias,qtd_consultas_ate30dias,qtd_consultas_ate60dias,qtd_consultas_mais60dias,qtd_registros,valor_total_registrado,registro_mais_antigo,registro_mais_recente,maior_valor_registrado,qtd_parc_quitadas_cliente,total_pago_cliente,qtd_parc_abertas_cliente,total_aberto_cliente,qtd_parc_avencer_cliente,total_avencer_cliente,qtd_parc_vencidas_cliente,total_vencido_cliente,mda_aberto_cliente,mda_vencido_cliente,qtd_contratos_quitados_cliente,qtd_contratos_abertos_cliente,qtd_contratos_avencer_cliente,qtd_contratos_vencidos_cliente,media_atraso_cliente,cliente_na_cobranca,qtd_total_ligacao,qtd_sucesso_ligacao,qtd_sms,qtd_acordos,qtd_acordos_cancelados,qtd_acordos_quitados,qtd_acordos_abertos,qtd_acordos_vencidos,codigo_credscore,rg,comprovante_identidade,rg_uf,sexo,data_nascimento,ddd_tel_fixo,tel_fixo,ddd_celular,celular,estado_civil,nome_conjuge,data_nascimento_conjuge,ddd_tel_conjuge,tel_conjuge,dependentes,email,veiculo,veiculo_financiado,moradia,bloqueado,falecido,loja_cadastro,data_criacao_cadastro,data_atualizacao_cadastro,cep,tipo_endereco,cidade_residencia,cidade_natal,anos_residencia,comprovante_residencia,ocupacao,ddd_comercial,telefone_comercial,data_admissao,carteira_assinada,salario,numero_beneficio,comprovante_renda,comprovante_renda_familiar,renda_familiar1_parentesco,renda_familiar1_ddd_celular,renda_familiar1_celular,renda_familiar1_ocupacao,renda_familiar1_ddd_comercial,renda_familiar1_fone_comercial,renda_familiar1_salario,renda_familiar1_codigo_cliente,renda_familiar2_parentesco,renda_familiar2_ddd_celular,renda_familiar2_celular,renda_familiar2_ocupacao,renda_familiar2_ddd_comercial,renda_familiar2_fone_comercial,renda_familiar2_salario,renda_familiar2_codigo_cliente,renda_familiar3_parentesco,renda_familiar3_ddd_celular,renda_familiar3_celular,renda_familiar3_ocupacao,renda_familiar3_ddd_comercial,renda_familiar3_fone_comercial,renda_familiar3_salario,renda_familiar3_codigo_cliente,referencia1_parentesco,referencia1_fone_residencial_ddd,referencia1_fone_residencial,referencia1_fone_comercial_ddd,referencia1_fone_comercial,referencia1_celular_ddd,referencia1_celular,referencia2_parentesco,referencia2_fone_residencial_ddd,referencia2_fone_residencial,referencia2_fone_comercial_ddd,referencia2_fone_comercial,referencia2_celular_ddd,referencia2_celular,referencia3_parentesco,referencia3_fone_residencial_ddd,referencia3_fone_residencial,referencia3_fone_comercial_ddd,referencia3_fone_comercial,referencia3_celular_ddd,referencia3_celular,quantidade_acordos,qtd_sms_enviado,qtd_ligacao_total,qtd_ligacao_sucesso,mda,mda_aberto,qtd_pagto_parciais,qtd_parcelas_pagto_parciais,possui_biometria,data_cadastro_biometrico,possui_compra_tidas
20335,147,4301,20140705,114.90,,,431,1,1,2,false,false,false,,,,false,4,3,0,1,0,0,1,0,0,0,0,20140805,20140808,,114.90,0.00,28.73,3,3,-26,3,0.00,0.00,0.00,0.00,84.00,0,0,0,0,0,0,0,0,0,0,,,,,16,474.64,,,0,0.00,,,,,7,,,,0,false,,,,,,,,,20335,true,false,24,2,19511104,49,true,,true,1,false,,,false,,false,,,,false,false,151,20080612,20140705,897,34,4424,4424,,false,24,49,true,19930201,1,800.00,false,false,false,,,false,,,false,,,,,false,,,false,,,,,false,,,false,,,6,49,true,,false,,false,6,49,true,,false,,false,,,false,,false,,false,0,0,0,0,3,-26,0,0,false,,true
20335,151,26174,20091028,29.90,,,2,,1,1,false,false,false,,,,false,1,0,0,1,0,0,1,0,0,0,0,20091128,20091201,,29.90,0.00,29.90,3,3,,3,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,,,,,6,220.75,,,0,0.00,,,,,3,,,,0,false,,,,,,,,,20335,true,false,24,2,19511104,49,true,,true,1,false,,,false,,false,,,,false,false,151,20080612,20140705,897,34,4424,4424,,false,24,49,true,19930201,1,800.00,false,false,false,,,false,,,false,,,,,false,,,false,,,,,false,,,false,,,6,49,true,,false,,false,6,49,true,,false,,false,,,false,,false,,false,0,0,0,0,3,-26,0,0,false,,true
20335,151,31525,20110705,49.90,,,20,1,1,1,false,false,false,true,,,false,2,0,0,2,0,1,1,0,0,0,0,20110805,20110906,,49.90,0.00,24.95,1,1,,1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,,,,,,,,,,7,250.65,,,0,0.00,,,,,4,,,,0,false,,,,,,,,,20335,true,false,24,2,19511104,49,true,,true,1,false,,,false,,false,,,,false,false,151,20080612,20140705,897,34,4424,4424,,false,24,49,true,19930201,1,800.00,false,false,false,,,false,,,false,,,,,false,,,false,,,,,false,,,false,,,6,49,true,,false,,false,6,49,true,,false,,false,,,false,,false,,false,0,0,0,0,3,-26,0,0,false,,true
20335,151,32260,20110928,99.50,,,2,1,2,1,false,false,false,true,true,false,false,4,0,0,4,4,0,0,0,0,0,0,20111028,20120106,,99.50,0.00,24.88,0,-17,,-17,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,,,,,9,300.55,,,0,0.00,,,,,5,,,,0,false,,,,,,,,,20335,true,false,24,2,19511104,49,true,,true,1,false,,,false,,false,,,,false,false,151,20080612,20140705,897,34,4424,4424,,false,24,49,true,19930201,1,800.00,false,false,false,,,false,,,false,,,,,false,,,false,,,,,false,,,false,,,6,49,true,,false,,false,6,49,true,,false,,false,,,false,,false,,false,0,0,0,0,3,-26,0,0,false,,true
20335,151,35386,20121106,74.59,,,431,1,2,1,false,false,false,,,,false,3,0,0,3,2,0,1,0,0,0,0,20121206,20130208,,74.59,0.00,24.86,0,2,,2,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,,,,,13,400.05,,,0,0.00,,,,,6,,,,0,false,,,,,,,,,20335,true,false,24,2,19511104,49,true,,true,1,false,,,false,,false,,,,false,false,151,20080612,20140705,897,34,4424,4424,,false,24,49,true,19930201,1,800.00,false,false,false,,,false,,,false,,,,,false,,,false,,,,,false,,,false,,,6,49,true,,false,,false,6,49,true,,false,,false,,,false,,false,,false,0,0,0,0,3,-26,0,0,false,,true
37880,101,11214,20101221,183.50,,,2,1,2,1,false,false,false,true,,,false,3,0,0,3,0,0,3,3,2,0,0,20110121,20110510,,183.50,0.00,61.17,38,50,,50,22.00,0.00,0.00,0.00,0.00,0,0,0,0,3,6,6,7,0,0,,,,,4,118.35,,,0,0.00,,,,,2,,,,29,false,,,,,,,,,37880,true,false,24,1,19690305,,false,,false,2,true,19690608,,false,2,false,0,,1,false,false,1,20050321,20110402,893,34,4508,4413,,false,43,47,true,20000510,1,3010.00,false,false,false,,,false,,,false,,,,,false,,,false,,,,,false,,,false,,,10,47,true,,false,,false,10,47,true,,false,,false,,,false,,false,,false,0,0,5,4,53,,0,0,false,,true
421224,10308,23774,20140327,180.69,,,209,1,1,3,false,false,false,true,true,false,false,6,5,3,1,0,1,0,0,0,0,0,20140427,20140428,,189.72,9.03,31.62,34,75,75,1,0.00,0.00,0.00,0.00,155.00,0,0,0,0,1,0,0,0,2,0,,,,,21,443.39,,,0,0.00,,,,,5,,,,127,false,,,,,,,,,421224,true,true,16,2,19750323,41,true,41,true,5,false,,,false,1,false,0,,1,false,false,10000,19990114,20140704,832,34,3013,3013,7,true,7,,true,19000101,,480.00,false,false,false,,,false,,,false,,,,,false,,,false,,,,,false,,,false,,,7,41,true,,false,,false,7,41,true,,false,,false,13,41,true,,false,,false,0,1,5,0,1171,75,0,0,true,20140327,true
421224,10308,24000,20140506,184.59,,,603,1,1,3,false,false,true,true,true,,false,6,6,3,0,0,0,0,0,0,0,0,20140606,,,193.62,9.03,32.27,35,65,65,,,,,,193.62,0,0,0,0,1,0,0,0,2,0,,,,,22,478.11,5,155.00,5,155.00,0,0.00,-21,,5,1,1,0,121,false,,,,,,,,,421224,true,true,16,2,19750323,41,true,41,true,5,false,,,false,1,false,0,,1,false,false,10000,19990114,20140704,832,34,3013,3013,7,true,7,,true,19000101,,480.00,false,false,false,,,false,,,false,,,,,false,,,false,,,,,false,,,false,,,7,41,true,,false,,false,7,41,true,,false,,false,13,41,true,,false,,false,0,1,5,0,1171,75,0,0,true,20140327,true
421224,10309,2182,20121223,107.87,,,190,1,1,1,false,false,false,true,true,false,false,6,0,0,6,6,0,0,0,0,0,0,20130123,20130614,,116.88,9.01,19.48,0,-7,,-7,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,2,2,2,0,0,,,,,6,161.29,,,0,0.00,,,,,2,,,,456,false,,,,,,,,,421224,true,true,16,2,19750323,41,true,41,true,5,false,,,false,1,false,0,,1,false,false,10000,19990114,20140704,832,34,3013,3013,7,true,7,,true,19000101,,480.00,false,false,false,,,false,,,false,,,,,false,,,false,,,,,false,,,false,,,7,41,true,,false,,false,7,41,true,,false,,false,13,41,true,,false,,false,0,1,5,0,1171,75,0,0,true,20140327,true
421224,10309,2471,20130304,96.78,,,190,1,1,1,false,false,false,true,true,false,false,5,0,0,5,5,0,0,0,0,0,0,20130404,20130730,,104.30,7.52,20.86,0,-1,,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,2,0,,,,,8,202.17,8,136.92,8,136.92,0,0.00,-19,,2,2,2,0,340,false,,,,,,,,,421224,true,true,16,2,19750323,41,true,41,true,5,false,,,false,1,false,0,,1,false,false,10000,19990114,20140704,832,34,3013,3013,7,true,7,,true,19000101,,480.00,false,false,false,,,false,,,false,,,,,false,,,false,,,,,false,,,false,,,7,41,true,,false,,false,7,41,true,,false,,false,13,41,true,,false,,false,0,1,5,0,1171,75,0,0,true,20140327,true
